strategy,scenario,scenario_name,mean_survival_rate,std_survival_rate,mean_escaped,mean_dead,mean_steps
A* (Manhattan),1,초기 화재,1.0000,0.0000,10.00,0.00,18.75
A* (Manhattan),2,화재 확산,0.9330,0.1078,9.33,0.67,22.12
A* (Manhattan),3,출구 위협,0.8590,0.1087,8.59,1.41,23.51
A* (Manhattan),4,폭발 붕괴,0.3240,0.2136,3.24,2.74,393.00
RL (PPO),1,초기 화재,1.0000,0.0000,10.00,0.00,19.94
RL (PPO),2,화재 확산,0.9280,0.1141,9.28,0.72,22.98
RL (PPO),3,출구 위협,0.7550,0.1374,7.55,2.45,20.56
RL (PPO),4,폭발 붕괴,0.3180,0.2075,3.18,2.80,393.00
Static Dijkstra,1,초기 화재,1.0000,0.0000,10.00,0.00,19.94
Static Dijkstra,2,화재 확산,0.9310,0.1065,9.31,0.69,22.96
Static Dijkstra,3,출구 위협,0.8710,0.1023,8.71,1.29,23.75
Static Dijkstra,4,폭발 붕괴,0.3230,0.2135,3.23,2.75,393.00
