model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,3,진입로 차단,40,42,20,4,16,20,0.5,67,0.0,-588.72,[]
astar,2,3,진입로 차단,40,43,27,5,22,13,0.675,78,0.0,-43.62,[]
astar,3,3,진입로 차단,40,44,14,5,9,26,0.35,39,0.0,-1048.25,[]
astar,4,3,진입로 차단,40,45,20,5,15,20,0.5,60,0.0,-580.34,[]
astar,5,3,진입로 차단,40,46,27,5,22,13,0.675,91,0.0,-51.13,[]
astar,6,3,진입로 차단,40,47,18,2,16,22,0.45,60,0.0,-738.83,[]
astar,7,3,진입로 차단,40,48,15,6,9,25,0.375,45,0.0,-976.43,[]
astar,8,3,진입로 차단,40,49,30,6,24,10,0.75,62,0.0,191.06,[]
astar,9,3,진입로 차단,40,50,23,6,17,17,0.575,48,0.0,-359.28,[]
astar,10,3,진입로 차단,40,51,20,3,17,20,0.5,41,0.0,-591.19,[]
astar,11,3,진입로 차단,40,52,14,3,11,26,0.35,48,0.0,-1041.33,[]
astar,12,3,진입로 차단,40,53,30,2,28,10,0.75,69,0.0,209.54,[]
astar,13,3,진입로 차단,40,54,19,3,16,21,0.475,97,0.0,-671.76,[]
astar,14,3,진입로 차단,40,55,34,4,30,6,0.85,65,0.0,511.54,[]
astar,15,3,진입로 차단,40,56,21,6,15,19,0.525,67,0.0,-510.18,[]
astar,16,3,진입로 차단,40,57,36,2,34,4,0.9,68,0.0,657.94,[]
astar,17,3,진입로 차단,40,58,28,3,25,12,0.7,56,0.0,35.38,[]
astar,18,3,진입로 차단,40,59,24,5,19,16,0.6,54,0.0,-274.8,[]
astar,19,3,진입로 차단,40,60,22,7,15,18,0.55,40,0.0,-436.39,[]
astar,20,3,진입로 차단,40,61,32,2,30,8,0.8,71,0.0,370.6,[]
astar,21,3,진입로 차단,40,62,21,1,20,19,0.525,80,0.0,-508.25,[]
astar,22,3,진입로 차단,40,63,26,3,23,14,0.65,51,0.0,-106.36,[]
astar,23,3,진입로 차단,40,64,21,7,14,19,0.525,63,0.0,-515.15,[]
astar,24,3,진입로 차단,40,65,28,9,19,12,0.7,81,0.0,15.66,[]
astar,25,3,진입로 차단,40,66,32,4,28,8,0.8,58,0.0,338.77,[]
astar,26,3,진입로 차단,40,67,23,4,19,17,0.575,47,0.0,-347.48,[]
astar,27,3,진입로 차단,40,68,24,5,19,16,0.6,58,0.0,-281.08,[]
astar,28,3,진입로 차단,40,69,32,2,30,8,0.8,65,0.0,343.12,[]
astar,29,3,진입로 차단,40,70,23,7,16,17,0.575,54,0.0,-358.72,[]
astar,30,3,진입로 차단,40,71,22,9,13,18,0.55,71,0.0,-436.84,[]
ppo,1,3,진입로 차단,40,42,39,5,34,1,0.975,101,0.0,846.11,[]
ppo,2,3,진입로 차단,40,43,38,5,33,2,0.95,73,0.0,782.52,[]
ppo,3,3,진입로 차단,40,44,33,6,27,7,0.825,85,0.0,444.59,[]
ppo,4,3,진입로 차단,40,45,39,8,31,1,0.975,63,0.0,861.53,[]
ppo,5,3,진입로 차단,40,46,35,4,31,5,0.875,83,0.0,587.55,[]
ppo,6,3,진입로 차단,40,47,33,2,31,7,0.825,78,0.0,462.58,[]
ppo,7,3,진입로 차단,40,48,33,5,28,7,0.825,83,0.0,463.19,[]
ppo,8,3,진입로 차단,40,49,38,6,32,2,0.95,60,0.0,781.47,[]
ppo,9,3,진입로 차단,40,50,37,6,31,3,0.925,76,0.0,729.69,[]
ppo,10,3,진입로 차단,40,51,31,3,28,9,0.775,79,0.0,284.77,[]
ppo,11,3,진입로 차단,40,52,38,4,34,2,0.95,78,0.0,786.89,[]
ppo,12,3,진입로 차단,40,53,36,2,34,4,0.9,72,0.0,680.2,[]
ppo,13,3,진입로 차단,40,54,37,3,34,3,0.925,87,0.0,722.39,[]
ppo,14,3,진입로 차단,40,55,35,3,32,5,0.875,95,0.0,602.97,[]
ppo,15,3,진입로 차단,40,56,34,6,28,6,0.85,98,0.0,531.93,[]
ppo,16,3,진입로 차단,40,57,37,1,36,3,0.925,71,0.0,719.52,[]
ppo,17,3,진입로 차단,40,58,35,3,32,5,0.875,84,0.0,595.96,[]
ppo,18,3,진입로 차단,40,59,36,3,33,4,0.9,59,0.0,687.11,[]
ppo,19,3,진입로 차단,40,60,36,7,29,4,0.9,75,0.0,660.6,[]
ppo,20,3,진입로 차단,40,61,32,2,30,8,0.8,63,0.0,367.19,[]
ppo,21,3,진입로 차단,40,62,32,1,31,8,0.8,80,0.0,361.09,[]
ppo,22,3,진입로 차단,40,63,37,2,35,3,0.925,58,0.0,746.2,[]
ppo,23,3,진입로 차단,40,64,36,7,29,4,0.9,80,0.0,687.68,[]
ppo,24,3,진입로 차단,40,65,38,8,30,2,0.95,66,0.0,770.74,[]
ppo,25,3,진입로 차단,40,66,35,4,31,5,0.875,73,0.0,577.72,[]
ppo,26,3,진입로 차단,40,67,36,4,32,4,0.9,79,0.0,677.9,[]
ppo,27,3,진입로 차단,40,68,34,6,28,6,0.85,73,0.0,510.58,[]
ppo,28,3,진입로 차단,40,69,33,2,31,7,0.825,80,0.0,431.54,[]
ppo,29,3,진입로 차단,40,70,36,6,30,4,0.9,77,0.0,661.77,[]
ppo,30,3,진입로 차단,40,71,28,7,21,12,0.7,101,0.0,56.93,[]
