model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,4,양방향 동시 위협,60,3,2,1,57,0.05,90,0.0,-2865.75,[]
astar,2,4,양방향 동시 위협,60,60,11,49,0,1.0,106,0.0,1325.65,[]
astar,3,4,양방향 동시 위협,60,52,5,47,8,0.8667,110,0.0,854.55,[]
astar,4,4,양방향 동시 위협,60,38,29,9,22,0.6333,105,0.0,-195.57,[]
astar,5,4,양방향 동시 위협,60,10,8,2,50,0.1667,74,0.0,-2314.47,[]
astar,6,4,양방향 동시 위협,60,60,36,24,0,1.0,138,0.0,1338.3,[]
astar,7,4,양방향 동시 위협,60,60,9,51,0,1.0,107,0.0,1341.61,[]
astar,8,4,양방향 동시 위협,60,54,4,50,6,0.9,95,0.0,1043.6,[]
astar,9,4,양방향 동시 위협,60,20,1,19,40,0.3333,98,0.0,-1555.56,[]
astar,10,4,양방향 동시 위협,60,11,3,8,49,0.1833,65,0.0,-2253.57,[]
astar,11,4,양방향 동시 위협,60,60,51,9,0,1.0,125,0.0,1334.51,[]
astar,12,4,양방향 동시 위협,60,38,33,5,22,0.6333,87,0.0,-202.77,[]
astar,13,4,양방향 동시 위협,60,36,33,3,24,0.6,127,0.0,-353.48,[]
astar,14,4,양방향 동시 위협,60,43,39,4,17,0.7167,118,0.0,198.58,[]
astar,15,4,양방향 동시 위협,60,6,1,5,54,0.1,66,0.0,-2651.31,[]
astar,16,4,양방향 동시 위협,60,5,4,1,55,0.0833,65,0.0,-2744.82,[]
astar,17,4,양방향 동시 위협,60,50,2,48,10,0.8333,102,0.0,672.58,[]
astar,18,4,양방향 동시 위협,60,10,4,6,50,0.1667,75,0.0,-2316.76,[]
astar,19,4,양방향 동시 위협,60,54,5,49,6,0.9,103,0.0,1047.43,[]
astar,20,4,양방향 동시 위협,60,54,5,49,6,0.9,93,0.0,1023.43,[]
astar,21,4,양방향 동시 위협,60,20,5,15,40,0.3333,77,0.0,-1566.14,[]
astar,22,4,양방향 동시 위협,60,9,1,8,51,0.15,69,0.0,-2412.27,[]
astar,23,4,양방향 동시 위협,60,49,3,46,11,0.8167,122,0.0,662.16,[]
astar,24,4,양방향 동시 위협,60,53,2,51,7,0.8833,102,0.0,946.14,[]
astar,25,4,양방향 동시 위협,60,60,36,24,0,1.0,141,0.0,1333.23,[]
astar,26,4,양방향 동시 위협,60,9,6,3,51,0.15,103,0.0,-2433.12,[]
astar,27,4,양방향 동시 위협,60,60,50,10,0,1.0,178,0.0,1359.62,[]
astar,28,4,양방향 동시 위협,60,9,5,4,51,0.15,67,0.0,-2420.63,[]
astar,29,4,양방향 동시 위협,60,58,3,55,2,0.9667,118,0.0,1223.46,[]
astar,30,4,양방향 동시 위협,60,49,4,45,11,0.8167,117,0.0,691.86,[]
ppo,1,4,양방향 동시 위협,60,60,31,29,0,1.0,91,0.0,1361.91,[]
ppo,2,4,양방향 동시 위협,60,41,34,7,19,0.6833,101,0.0,28.13,[]
ppo,3,4,양방향 동시 위협,60,54,34,20,6,0.9,118,0.0,986.57,[]
ppo,4,4,양방향 동시 위협,60,55,5,50,5,0.9167,105,0.0,1079.34,[]
ppo,5,4,양방향 동시 위협,60,36,30,6,24,0.6,116,0.0,-358.14,[]
ppo,6,4,양방향 동시 위협,60,60,27,33,0,1.0,70,0.0,1356.32,[]
ppo,7,4,양방향 동시 위협,60,60,32,28,0,1.0,137,0.0,1349.78,[]
ppo,8,4,양방향 동시 위협,60,45,37,8,15,0.75,103,0.0,324.99,[]
ppo,9,4,양방향 동시 위협,60,39,34,5,21,0.65,111,0.0,-138.36,[]
ppo,10,4,양방향 동시 위협,60,28,27,1,32,0.4667,116,0.0,-973.55,[]
ppo,11,4,양방향 동시 위협,60,13,6,7,47,0.2167,79,0.0,-2097.95,[]
ppo,12,4,양방향 동시 위협,60,47,39,8,13,0.7833,115,0.0,487.31,[]
ppo,13,4,양방향 동시 위협,60,11,7,4,49,0.1833,61,0.0,-2276.1,[]
