model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
static,1,3,진입로 차단,40,42,39,5,34,1,0.975,107,0.0,849.84,[]
static,2,3,진입로 차단,40,43,37,2,35,3,0.925,77,0.0,734.04,[]
static,3,3,진입로 차단,40,44,34,5,29,6,0.85,83,0.0,529.18,[]
static,4,3,진입로 차단,40,45,35,5,30,5,0.875,67,0.0,616.17,[]
static,5,3,진입로 차단,40,46,35,4,31,5,0.875,91,0.0,597.4,[]
static,6,3,진입로 차단,40,47,33,2,31,7,0.825,77,0.0,460.96,[]
static,7,3,진입로 차단,40,48,29,5,24,11,0.725,84,0.0,150.1,[]
static,8,3,진입로 차단,40,49,35,5,30,5,0.875,94,0.0,587.14,[]
static,9,3,진입로 차단,40,50,33,5,28,7,0.825,82,0.0,438.68,[]
static,10,3,진입로 차단,40,51,34,3,31,6,0.85,60,0.0,513.71,[]
static,11,3,진입로 차단,40,52,35,4,31,5,0.875,61,0.0,602.42,[]
static,12,3,진입로 차단,40,53,34,1,33,6,0.85,88,0.0,530.15,[]
static,13,3,진입로 차단,40,54,37,3,34,3,0.925,68,0.0,723.48,[]
static,14,3,진입로 차단,40,55,34,4,30,6,0.85,94,0.0,532.76,[]
static,15,3,진입로 차단,40,56,34,5,29,6,0.85,96,0.0,523.03,[]
static,16,3,진입로 차단,40,57,37,1,36,3,0.925,70,0.0,723.05,[]
static,17,3,진입로 차단,40,58,35,4,31,5,0.875,86,0.0,595.27,[]
static,18,3,진입로 차단,40,59,35,3,32,5,0.875,71,0.0,605.88,[]
static,19,3,진입로 차단,40,60,35,7,28,5,0.875,86,0.0,585.48,[]
static,20,3,진입로 차단,40,61,33,2,31,7,0.825,58,0.0,446.66,[]
static,21,3,진입로 차단,40,62,32,1,31,8,0.8,78,0.0,364.17,[]
static,22,3,진입로 차단,40,63,36,2,34,4,0.9,66,0.0,687.44,[]
static,23,3,진입로 차단,40,64,36,7,29,4,0.9,84,0.0,684.76,[]
static,24,3,진입로 차단,40,65,39,9,30,1,0.975,77,0.0,820.47,[]
static,25,3,진입로 차단,40,66,36,5,31,4,0.9,71,0.0,655.91,[]
static,26,3,진입로 차단,40,67,37,5,32,3,0.925,64,0.0,734.37,[]
static,27,3,진입로 차단,40,68,30,6,24,10,0.75,83,0.0,209.61,[]
static,28,3,진입로 차단,40,69,34,2,32,6,0.85,95,0.0,507.49,[]
static,29,3,진입로 차단,40,70,35,6,29,5,0.875,80,0.0,585.25,[]
static,30,3,진입로 차단,40,71,26,7,19,14,0.65,82,0.0,-94.18,[]
