model,episode,scenario,scenario_name,n_agents,block_exit,block_at_step,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward
astar,1,1,기본 탈출,20,A,50,20,11,9,0,1.0,142,0.0,462.46
astar,2,1,기본 탈출,20,A,50,20,7,13,0,1.0,75,0.0,447.27
astar,3,1,기본 탈출,20,A,50,20,2,18,0,1.0,154,0.0,436.91
astar,4,1,기본 탈출,20,A,50,20,10,10,0,1.0,138,0.0,448.05
astar,5,1,기본 탈출,20,A,50,20,9,11,0,1.0,157,0.0,455.66
astar,6,1,기본 탈출,20,A,50,20,4,16,0,1.0,77,0.0,447.47
astar,7,1,기본 탈출,20,A,50,20,9,11,0,1.0,137,0.0,472.51
astar,8,1,기본 탈출,20,A,50,20,9,11,0,1.0,108,0.0,443.73
astar,9,1,기본 탈출,20,A,50,20,3,17,0,1.0,59,0.0,420.08
astar,10,1,기본 탈출,20,A,50,20,8,12,0,1.0,63,0.0,434.58
astar,11,1,기본 탈출,20,A,50,20,12,8,0,1.0,116,0.0,465.98
astar,12,1,기본 탈출,20,A,50,20,1,19,0,1.0,69,0.0,434.23
astar,13,1,기본 탈출,20,A,50,20,14,6,0,1.0,126,0.0,461.33
astar,14,1,기본 탈출,20,A,50,20,11,9,0,1.0,133,0.0,464.18
astar,15,1,기본 탈출,20,A,50,19,2,17,1,0.95,58,0.0,375.4
astar,16,1,기본 탈출,20,A,50,20,13,7,0,1.0,118,0.0,466.15
astar,17,1,기본 탈출,20,A,50,20,3,17,0,1.0,64,0.0,438.21
astar,18,1,기본 탈출,20,A,50,20,14,6,0,1.0,115,0.0,459.24
astar,19,1,기본 탈출,20,A,50,20,3,17,0,1.0,109,0.0,428.57
astar,20,1,기본 탈출,20,A,50,20,15,5,0,1.0,95,0.0,433.25
astar,21,1,기본 탈출,20,A,50,20,9,11,0,1.0,187,0.0,426.46
astar,22,1,기본 탈출,20,A,50,20,11,9,0,1.0,50,0.0,447.79
astar,23,1,기본 탈출,20,A,50,20,10,10,0,1.0,93,0.0,448.97
astar,24,1,기본 탈출,20,A,50,20,11,9,0,1.0,135,0.0,490.98
astar,25,1,기본 탈출,20,A,50,19,8,11,1,0.95,117,0.0,383.83
astar,26,1,기본 탈출,20,A,50,20,12,8,0,1.0,132,0.0,421.49
astar,27,1,기본 탈출,20,A,50,20,11,9,0,1.0,119,0.0,452.85
astar,28,1,기본 탈출,20,A,50,20,4,16,0,1.0,76,0.0,428.38
astar,29,1,기본 탈출,20,A,50,20,7,13,0,1.0,133,0.0,456.74
astar,30,1,기본 탈출,20,A,50,20,4,16,0,1.0,61,0.0,437.62
ppo,1,1,기본 탈출,20,A,50,20,8,12,0,1.0,133,0.0,470.47
ppo,2,1,기본 탈출,20,A,50,19,10,9,0,0.95,200,0.6918,380.75
ppo,3,1,기본 탈출,20,A,50,20,7,13,0,1.0,125,0.0,451.07
ppo,4,1,기본 탈출,20,A,50,20,12,8,0,1.0,116,0.0,454.24
ppo,5,1,기본 탈출,20,A,50,20,7,13,0,1.0,142,0.0,457.76
ppo,6,1,기본 탈출,20,A,50,20,8,12,0,1.0,120,0.0,457.13
ppo,7,1,기본 탈출,20,A,50,20,9,11,0,1.0,149,0.0,454.15
ppo,8,1,기본 탈출,20,A,50,20,8,12,0,1.0,154,0.0,463.92
ppo,9,1,기본 탈출,20,A,50,20,7,13,0,1.0,41,0.0,455.31
ppo,10,1,기본 탈출,20,A,50,20,7,13,0,1.0,122,0.0,448.91
ppo,11,1,기본 탈출,20,A,50,20,5,15,0,1.0,120,0.0,448.76
ppo,12,1,기본 탈출,20,A,50,20,7,13,0,1.0,128,0.0,453.52
ppo,13,1,기본 탈출,20,A,50,20,7,13,0,1.0,119,0.0,439.26
ppo,14,1,기본 탈출,20,A,50,20,11,9,0,1.0,40,0.0,443.07
ppo,15,1,기본 탈출,20,A,50,19,10,9,1,0.95,49,0.0,393.58
ppo,16,1,기본 탈출,20,A,50,20,9,11,0,1.0,105,0.0,453.84
ppo,17,1,기본 탈출,20,A,50,20,10,10,0,1.0,37,0.0,447.65
ppo,18,1,기본 탈출,20,A,50,20,12,8,0,1.0,49,0.0,438.95
ppo,19,1,기본 탈출,20,A,50,20,9,11,0,1.0,131,0.0,445.18
ppo,20,1,기본 탈출,20,A,50,20,5,15,0,1.0,112,0.0,435.18
ppo,21,1,기본 탈출,20,A,50,20,9,11,0,1.0,137,0.0,447.31
ppo,22,1,기본 탈출,20,A,50,20,8,12,0,1.0,41,0.0,451.79
ppo,23,1,기본 탈출,20,A,50,20,13,7,0,1.0,104,0.0,462.34
ppo,24,1,기본 탈출,20,A,50,20,6,14,0,1.0,123,0.0,456.77
ppo,25,1,기본 탈출,20,A,50,20,9,11,0,1.0,50,0.0,450.63
ppo,26,1,기본 탈출,20,A,50,18,7,11,2,0.9,121,0.0,332.44
ppo,27,1,기본 탈출,20,A,50,20,8,12,0,1.0,114,0.0,447.89
ppo,28,1,기본 탈출,20,A,50,20,9,11,0,1.0,120,0.0,445.4
ppo,29,1,기본 탈출,20,A,50,20,11,9,0,1.0,46,0.0,446.96
ppo,30,1,기본 탈출,20,A,50,20,9,11,0,1.0,116,0.0,447.63
